2050,0,Set the table for 1 person
4531,2,Set the table for 3 persons
7692,14,Put bowl and jug on big shelf
8532,3,Set the table for 4 persons
10443,5,Put the jug and the bowl on small shelf
11658,1,Set the table for 2 persons
15178,0,Set the table for 1 person
16571,4,Clear table
18373,0,Set the table for 1 person
20586,6,Put all cups on small shelf
22687,13,Put all cups on big shelf
24918,5,Put the jug and the bowl on small shelf
26426,7,Put blue and pink objects on big shelf
27431,0,Set the table for 1 person
29344,6,Put all cups on small shelf
31726,2,Set the table for 3 persons
34814,1,Set the table for 2 persons
36298,8,Put blue and red objects on big shelf
37737,13,Put all cups on big shelf
39214,2,Set the table for 3 persons
41788,3,Set the table for 4 persons
43306,16,Put all plates on big shelf
45900,0,Set the table for 1 person
48320,1,Set the table for 2 persons
50651,15,Put all cups on big shelf
53453,11,Put pink and green objects on big shelf
54567,1,Set the table for 2 persons
56496,11,Put pink and green objects on big shelf
58362,5,Put the jug and the bowl on small shelf
59868,8,Put blue and red objects on big shelf
61579,1,Set the table for 2 persons
64555,6,Put all cups on small shelf
66002,16,Put all plates on big shelf
68107,3,Set the table for 4 persons
72559,5,Put the jug and the bowl on small shelf
74087,13,Put all cups on big shelf
76840,6,Put all cups on small shelf
79631,0,Set the table for 1 person
82405,5,Put the jug and the bowl on small shelf
85119,2,Set the table for 3 persons
88294,16,Put all plates on big shelf
90253,6,Put all cups on small shelf
92951,14,Put bowl and jug on big shelf
93975,8,Put blue and red objects on big shelf
95318,10,Put pink and red objects on big shelf
96026,3,Set the table for 4 persons
101369,11,Put pink and green objects on big shelf
105245,5,Put the jug and the bowl on small shelf
106704,3,Set the table for 4 persons
109863,0,Set the table for 1 person
113597,6,Put all cups on small shelf
115982,5,Put the jug and the bowl on small shelf
118987,3,Set the table for 4 persons
123488,9,Put blue and green objects on big shelf
126200,15,Put all cups on big shelf
127597,6,Put all cups on small shelf
130001,1,Set the table for 2 persons
131289,10,Put pink and red objects on big shelf
133803,0,Set the table for 1 person
135361,3,Set the table for 4 persons
138821,16,Put all plates on big shelf
141290,2,Set the table for 3 persons
143561,4,Clear table
147073,3,Set the table for 4 persons
151940,2,Set the table for 3 persons
153150,5,Put the jug and the bowl on small shelf
154806,1,Set the table for 2 persons
156361,4,Clear table
