901,6,Put all cups on small shelf
2709,1,Set the table for 2 persons
6066,3,Set the table for 4 persons
8769,2,Set the table for 3 persons
10321,5,Put the jug and the bowl on small shelf
12021,1,Set the table for 2 persons
14138,3,Set the table for 4 persons
16884,6,Put all cups on small shelf
19883,5,Put the jug and the bowl on small shelf
22897,2,Set the table for 3 persons
26169,6,Put all cups on small shelf
29474,15,Put all cups on big shelf
32079,4,Clear table
35077,3,Set the table for 4 persons
41251,6,Put all cups on small shelf
44914,14,Put bowl and jug on big shelf
46542,0,Set the table for 1 person
50537,8,Put blue and red objects on big shelf
54300,2,Set the table for 3 persons
58844,6,Put all cups on small shelf
61204,8,Put blue and red objects on big shelf
64621,1,Set the table for 2 persons
67020,6,Put all cups on small shelf
69052,1,Set the table for 2 persons
70722,5,Put the jug and the bowl on small shelf
73618,7,Put blue and pink objects on big shelf
75926,2,Set the table for 3 persons
81130,7,Put blue and pink objects on big shelf
84895,1,Set the table for 2 persons
87004,3,Set the table for 4 persons
91098,6,Put all cups on small shelf
94003,7,Put blue and pink objects on big shelf
96942,0,Set the table for 1 person
98586,6,Put all cups on small shelf
100648,3,Set the table for 4 persons
108344,0,Set the table for 1 person
113177,16,Put all plates on big shelf
114565,3,Set the table for 4 persons
120008,1,Set the table for 2 persons
122923,6,Put all cups on small shelf
126649,10,Put pink and red objects on big shelf
130060,6,Put all cups on small shelf
131772,1,Set the table for 2 persons
135012,3,Set the table for 4 persons
138081,8,Put blue and red objects on big shelf
141533,5,Put the jug and the bowl on small shelf
143432,2,Set the table for 3 persons
146213,10,Put pink and red objects on big shelf
149342,6,Put all cups on small shelf
153341,3,Set the table for 4 persons
158201,14,Put bowl and jug on big shelf
159275,4,Clear table
