1415,1,Set the table for 2 persons
5032,13,Put all cups on big shelf
7467,6,Put all cups on small shelf
9937,16,Put all plates on big shelf
11932,13,Put all cups on big shelf
14385,3,Set the table for 4 persons
20893,5,Put the jug and the bowl on small shelf
24012,1,Set the table for 2 persons
28386,0,Set the table for 1 person
29970,1,Set the table for 2 persons
31563,8,Put blue and red objects on big shelf
35100,2,Set the table for 3 persons
39773,16,Put all plates on big shelf
44211,1,Set the table for 2 persons
46507,15,Put all cups on big shelf
48548,5,Put the jug and the bowl on small shelf
49663,1,Set the table for 2 persons
