1801,14,Put bowl and jug on big shelf
6965,6,Put all cups on small shelf
10023,15,Put all cups on big shelf
12849,5,Put the jug and the bowl on small shelf
14907,3,Set the table for 4 persons
20200,16,Put all plates on big shelf
22741,0,Set the table for 1 person
25900,1,Set the table for 2 persons
27149,2,Set the table for 3 persons
28344,12,Put red and green objects on big shelf
30735,1,Set the table for 2 persons
32054,5,Put the jug and the bowl on small shelf
33262,16,Put all plates on big shelf
34612,2,Set the table for 3 persons
37218,8,Put blue and red objects on big shelf
38803,5,Put the jug and the bowl on small shelf
40058,3,Set the table for 4 persons
44179,6,Put all cups on small shelf
47599,1,Set the table for 2 persons
