1272,0,Set the table for 1 person
3600,6,Put all cups on small shelf
6079,14,Put bowl and jug on big shelf
7207,15,Put all cups on big shelf
9615,5,Put the jug and the bowl on small shelf
11377,2,Set the table for 3 persons
16200,1,Set the table for 2 persons
17815,3,Set the table for 4 persons
20851,6,Put all cups on small shelf
24000,2,Set the table for 3 persons
26550,7,Put blue and pink objects on big shelf
28854,8,Put blue and red objects on big shelf
30624,3,Set the table for 4 persons
35739,5,Put the jug and the bowl on small shelf
36601,1,Set the table for 2 persons
39761,16,Put all plates on big shelf
41369,0,Set the table for 1 person
43303,5,Put the jug and the bowl on small shelf
45668,3,Set the table for 4 persons
50963,4,Clear table
56805,2,Set the table for 3 persons
62201,16,Put all plates on big shelf
64425,2,Set the table for 3 persons
67310,5,Put the jug and the bowl on small shelf
69633,8,Put blue and red objects on big shelf
73123,1,Set the table for 2 persons
75225,15,Put all cups on big shelf
76569,16,Put all plates on big shelf
78190,5,Put the jug and the bowl on small shelf
79109,1,Set the table for 2 persons
82521,5,Put the jug and the bowl on small shelf
83638,16,Put all plates on big shelf
85366,3,Set the table for 4 persons
90561,16,Put all plates on big shelf
95478,3,Set the table for 4 persons
98678,15,Put all cups on big shelf
101651,5,Put the jug and the bowl on small shelf
102682,3,Set the table for 4 persons
106263,11,Put pink and green objects on big shelf
109708,12,Put red and green objects on big shelf
111531,14,Put bowl and jug on big shelf
113570,5,Put the jug and the bowl on small shelf
114848,1,Set the table for 2 persons
117284,8,Put blue and red objects on big shelf
118855,3,Set the table for 4 persons
123004,2,Set the table for 3 persons
125066,4,Clear table
129660,0,Set the table for 1 person
132104,6,Put all cups on small shelf
134841,0,Set the table for 1 person
136010,10,Put pink and red objects on big shelf
138100,0,Set the table for 1 person
139256,3,Set the table for 4 persons
143565,0,Set the table for 1 person
147461,13,Put all cups on big shelf
150095,5,Put the jug and the bowl on small shelf
151696,2,Set the table for 3 persons
155832,13,Put all cups on big shelf
158101,12,Put red and green objects on big shelf
159891,1,Set the table for 2 persons
