527,10,Put pink and red objects on big shelf
3352,6,Put all cups on small shelf
5600,2,Set the table for 3 persons
12020,6,Put all cups on small shelf
14538,12,Put red and green objects on big shelf
17009,6,Put all cups on small shelf
18149,14,Put bowl and jug on big shelf
19597,11,Put pink and green objects on big shelf
21451,2,Set the table for 3 persons
25600,16,Put all plates on big shelf
28667,12,Put red and green objects on big shelf
30528,0,Set the table for 1 person
31433,4,Clear table
33598,0,Set the table for 1 person
36110,3,Set the table for 4 persons
41104,1,Set the table for 2 persons
44329,15,Put all cups on big shelf
47127,3,Set the table for 4 persons
51783,12,Put red and green objects on big shelf
54804,6,Put all cups on small shelf
57492,16,Put all plates on big shelf
60438,1,Set the table for 2 persons
64073,4,Clear table
68622,3,Set the table for 4 persons
75301,0,Set the table for 1 person
79991,3,Set the table for 4 persons
83922,5,Put the jug and the bowl on small shelf
85958,14,Put bowl and jug on big shelf
87146,5,Put the jug and the bowl on small shelf
88216,4,Clear table
93535,3,Set the table for 4 persons
99358,11,Put pink and green objects on big shelf
102257,9,Put blue and green objects on big shelf
104043,6,Put all cups on small shelf
107118,0,Set the table for 1 person
107550,1,Set the table for 2 persons
109856,3,Set the table for 4 persons
113171,6,Put all cups on small shelf
115408,16,Put all plates on big shelf
118676,2,Set the table for 3 persons
124647,4,Clear table
131335,0,Set the table for 1 person
135158,6,Put all cups on small shelf
137300,1,Set the table for 2 persons
139196,16,Put all plates on big shelf
141182,6,Put all cups on small shelf
